1636738303879021100,379,261,147,193
1636738303879021100,319,73,41,39
1636738303879021100,258,77,45,33
1636738304097761800,380,258,142,198
1636738304097761800,319,73,41,39
1636738304097761800,258,77,45,33
1636738304316504300,381,258,141,198
1636738304316504300,319,73,41,39
1636738304316504300,258,77,45,33
1636738304535246400,382,259,139,197
1636738304535246400,318,75,41,37
1636738304535246400,256,77,44,33
1636738304753992200,380,258,139,198
1636738304753992200,315,74,46,38
1636738304753992200,256,77,44,33
1636738304972734300,378,259,140,198
1636738304972734300,256,77,44,33
1636738304972734300,326,77,34,35
1636738305191476000,377,261,144,197
1636738305191476000,256,77,44,33
1636738305191476000,330,77,31,35
1636738305410218400,381,265,139,194
1636738305410218400,256,77,44,33
1636738305410218400,326,77,34,35
1636738305628962600,380,268,141,191
1636738305628962600,316,76,44,36
1636738305628962600,256,77,44,33
1636738305847705300,381,271,141,188
1636738305847705300,316,75,44,37
1636738305847705300,256,77,44,33
1636738306066447700,379,272,148,189
1636738306066447700,321,76,40,36
1636738306066447700,257,77,42,33
1636738306285188400,380,274,146,187
1636738306285188400,321,75,40,37
1636738306285188400,257,77,42,33
1636738306503931300,381,268,143,193
1636738306503931300,256,77,42,34
1636738306503931300,324,76,37,36
1636738306722673500,380,267,143,196
1636738306722673500,257,75,42,35
1636738306722673500,330,77,30,35
1636738307222657000,378,265,146,192
1636738307222657000,257,76,42,34
1636738307222657000,327,73,34,37
1636738307441401100,379,265,143,193
1636738307441401100,257,76,41,34
1636738307441401100,328,76,33,36
1636738307660144300,379,266,143,191
1636738307660144300,257,76,41,35
1636738307660144300,328,75,33,37
1636738307878887800,379,265,143,193
1636738307878887800,257,76,43,35
1636738307878887800,314,75,49,37
1636738308097627100,379,265,144,192
1636738308097627100,257,76,43,35
1636738308097627100,326,76,36,36
1636738308097627100,4,96,31,143
1636738308316371000,380,264,140,195
1636738308316371000,257,76,43,35
1636738308316371000,312,75,51,37
1636738308535112900,379,264,144,193
1636738308535112900,257,76,43,35
1636738308535112900,329,75,33,37
1636738308769481100,378,265,142,195
1636738308769481100,256,75,44,35
1636738308769481100,330,76,32,36
1636738308988224100,377,262,145,197
1636738308988224100,7,101,38,156
1636738308988224100,256,75,43,35
1636738308988224100,329,76,31,35
1636738309206967400,379,264,141,196
1636738309206967400,8,102,37,166
1636738309206967400,324,76,35,35
1636738309206967400,256,75,43,35
1636738309425711000,380,267,139,193
1636738309425711000,8,107,39,169
1636738309425711000,326,76,33,35
1636738309425711000,256,75,43,35
1636738309644451200,379,273,142,187
1636738309644451200,6,104,50,177
1636738309644451200,329,75,32,36
1636738309644451200,256,75,43,35
1636738309863195400,7,108,52,195
1636738309863195400,386,270,135,189
1636738309863195400,328,74,33,38
1636738309863195400,257,75,42,35
1636738310081937500,384,270,137,192
1636738310081937500,11,109,52,194
1636738310081937500,330,74,31,38
1636738310081937500,257,76,42,34
1636738310300681000,379,270,142,192
1636738310300681000,5,104,55,196
1636738310300681000,327,75,34,37
1636738310300681000,257,76,42,34
1636738310300681000,1,94,76,372
1636738310519423700,379,270,142,192
1636738310519423700,4,99,56,215
1636738310519423700,324,75,36,37
1636738310519423700,257,75,42,35
1636738310519423700,1,88,76,377
1636738310738167900,379,271,142,191
1636738310738167900,6,102,70,253
1636738310738167900,324,76,36,36
1636738310738167900,257,76,42,34
1636738310956910500,379,272,143,188
1636738310956910500,322,77,38,35
1636738310956910500,4,99,83,362
1636738310956910500,256,78,40,32
1636738310956910500,11,99,61,188
1636738311175652000,377,274,148,185
1636738311175652000,13,109,78,288
1636738311175652000,320,77,39,36
1636738311175652000,255,78,47,32
1636738311394394500,382,272,140,189
1636738311394394500,19,142,77,283
1636738311394394500,321,77,38,35
1636738311394394500,255,79,47,31
1636738311613134700,378,271,149,187
1636738311613134700,19,120,95,300
1636738311613134700,255,78,47,33
1636738311831880700,386,268,142,195
1636738311831880700,27,148,113,281
1636738311831880700,255,78,47,33
1636738311831880700,323,74,38,38
1636738312050622500,391,268,131,201
1636738312050622500,46,183,112,248
1636738312050622500,322,73,40,39
1636738312050622500,255,79,47,32
1636738312269365100,24,148,82,255
1636738312269365100,406,268,109,204
1636738312269365100,129,179,109,271
1636738312269365100,386,289,49,163
1636738312269365100,255,78,47,33
1636738312269365100,326,74,35,38
1636738312769346500,393,268,128,205
1636738312769346500,27,155,82,274
1636738312769346500,140,163,104,270
1636738312769346500,255,79,48,32
